サービスID,アイテムID,13桁ISBN,カテゴリ,評価,読書状況,レビュー,タグ,読書メモ(非公開),登録日時,読了日,タイトル,著者,出版社名,発行年,タイプ,ページ数
1,4.13E+09,9.78E+12,自然科学,,読みたい,,,,2025/7/16 15:54,,動物生理学 環境への適応,沼田英治,東京大学出版会,2007,本,600
1,B009B0U3P2,,詩歌,4,読み終わった,,,,2025/7/13 16:55,2025/7/13 16:55,〔雨ニモマケズ〕,宮沢 賢治,,2012,電子書籍,4
1,4.10E+09,9.78E+12,小説,3,読み終わった,,,,2025/7/13 16:48,2025/7/15 12:24,雪国 (新潮文庫 か-1-1),川端康成,新潮社,1987,本,181
1,4.90E+09,9.78E+12,小説,3,読み終わった,,,,2025/7/12 17:15,2025/7/12 21:33,ノベライズ 花束みたいな恋をした,坂元裕二,リトル・モア,2021,本,192
1,4.10E+09,9.78E+12,小説,4,読み終わった,,,,2025/7/4 12:48,2025/7/23 22:13,向日葵の咲かない夏 (新潮文庫),道尾秀介,新潮社,2008,本,480
1,4.07E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2025/7/4 12:46,2025/7/11 6:39,現代思想入門 (講談社現代新書),千葉雅也,講談社,2022,本,248
1,4.48E+09,9.78E+12,自然科学,4,読み終わった,,,,2025/7/4 12:46,2025/8/1 0:00,ウォード博士の驚異の「動物行動学入門」 動物のひみつ 争い・裏切り・協力・繁栄の謎を追う,アシュリー・ウォード,ダイヤモンド社,2024,本,736
1,4.09E+09,9.78E+12,ノンフィクション・エッセイ,4,読み終わった,,,,2025/6/30 22:46,2025/7/2 19:20,なぜ働いていると本が読めなくなるのか (集英社新書),三宅香帆,集英社,2024,本,288
1,4.49E+09,9.78E+12,小説,4,読み終わった,,,,2025/6/29 17:26,2025/6/30 6:25,シャドウ (創元推理文庫),道尾秀介,東京創元社,2009,本,348
1,429611767X,9.78E+12,その他,4,読み終わった,,,,2025/6/29 17:26,2025/7/4 12:45,子どもとの関係が変わる 自分の親に読んでほしかった本,フィリッパ・ペリー,日経BP,2023,本,356
1,B09CPBMY26,,経営戦略,4,読み終わった,,,,2025/6/26 7:49,2025/6/26 12:15,マッキンゼーが解き明かす 生き残るためのDX (日本経済新聞出版),黒川通彦,日経BP,2021,電子書籍,258
1,B00PIWTOOS,,漫画,3,読み終わった,,,,2025/6/22 21:52,2025/6/26 7:49,アシュラ　完結編,ジョージ秋山,eBookJapan Plus,2014,電子書籍,50
1,B017OTTKWI,,漫画,4,読み終わった,,,,2025/6/22 6:49,2025/6/22 6:49,アシュラ(1),ジョージ秋山,ゴマブックス株式会社,,電子書籍,217
1,B017OTTKUK,,漫画,4,読み終わった,,,,2025/6/22 6:49,2025/6/22 6:49,アシュラ(2),ジョージ秋山,ゴマブックス株式会社,,電子書籍,253
1,B017OTTKXM,,漫画,4,読み終わった,,,,2025/6/22 6:49,2025/6/22 6:49,アシュラ(3),ジョージ秋山,ゴマブックス株式会社,,電子書籍,254
1,B07H82NW2F,,自然科学,4,読み終わった,,,,2025/6/18 16:01,2025/7/22 21:50,世界史を大きく動かした植物,稲垣 栄洋,PHP研究所,2018,電子書籍,185
1,4.07E+09,9.78E+12,小説,5,読み終わった,,,,2025/6/12 12:42,2025/6/12 12:42,対岸の家事 (講談社文庫),朱野帰子,講談社,2021,本,448
1,4.82E+09,9.78E+12,経済・社会科学,4,読み終わった,,,,2025/6/3 19:54,2025/6/28 8:51,コンテナ物語 世界を変えたのは「箱」の発明だった,村井章子,日経BP社,2007,本,448
1,4.40E+09,9.78E+12,小説,4,読み終わった,,,,2025/4/25 19:41,2025/5/6 23:43,家康、江戸を建てる,門井慶喜,祥伝社,2016,本,
1,B0DK84V9LX,,ノンフィクション・エッセイ,3,読み終わった,,,,2025/4/22 12:55,2025/4/22 12:55,人生の壁（新潮新書） （「壁」シリーズ）,養老孟司,新潮社,2024,電子書籍,152
1,B0CM2YJ34N,,IT・統計,3,読み終わった,,,,2025/4/22 8:14,2025/5/5 14:04,生成AIで世界はこう変わる (SB新書),今井 翔太,SBクリエイティブ,2024,電子書籍,199
1,4.89E+09,9.78E+12,学習・教育,3,読み終わった,,,,2025/4/20 14:28,2025/6/21 7:51,大岩のいちばんはじめ英文法【超基礎文法編】,大岩秀樹,ナガセ,2014,本,240
1,B0F48BTWDN,,自然科学,5,読み終わった,,,,2025/4/17 7:27,2025/6/5 8:19,"動物には何が見え,聞こえ、感じられるのか　人間には感知できない驚異の環世界",エド・ヨン,柏書房,2025,電子書籍,753
1,B082MXPXVF,,漫画,4,読み終わった,,,,2025/4/16 21:46,2025/4/18 0:00,【極！合本シリーズ】 サトラレ2巻,佐藤マコト,ライツコーポレーション,2020,電子書籍,
1,B082MYSXMB,,漫画,4,読み終わった,,,,2025/4/16 21:46,2025/4/19 0:00,【極！合本シリーズ】 サトラレ3巻,佐藤マコト,ライツコーポレーション,2020,電子書籍,621
1,B088YKSVJY,,漫画,4,読み終わった,,,,2025/4/16 21:46,2025/4/20 0:00,【極！合本シリーズ】 サトラレ4巻,佐藤マコト,ライツコーポレーション,2020,電子書籍,
1,B082MYL33T,,漫画,4,読み終わった,,,,2025/4/16 21:45,2025/4/13 0:00,【極！合本シリーズ】 サトラレ1巻,佐藤マコト,ライツコーポレーション,2020,電子書籍,
1,B08BZBGXXS,,学習・教育,3,読み終わった,,,,2025/4/16 18:07,2025/4/16 18:07,Robot Children's Book : I built a robot (Kids Read Daily Level 1) (English Edition),A.D.Largie,KIDS READ DAILY,,電子書籍,31
1,B08BZ5H6K9,,学習・教育,3,読み終わった,,,,2025/4/15 18:14,2025/4/15 18:14,I Like Pirates: Level 1 books (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,31
1,B08BR52QW1,,学習・教育,3,読み終わった,,,,2025/4/15 18:06,2025/4/15 18:06,King David For Kids : I can read books level 1 (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kemet Kids Books,2020,電子書籍,37
1,B08BN8LWYF,,学習・教育,3,読み終わった,,,,2025/4/14 18:14,2025/4/14 18:14,Kindness Is King: kindness for kids (Kids Read Daily Level 1) (English Edition),A.D.Largie,KIDS READ DAILY,2020,電子書籍,31
1,B08BJRN1MS,,学習・教育,3,読み終わった,,,,2025/4/14 18:05,2025/4/14 18:05,Feeling Good For Kids: I Can Read Level 1 (Kids Read Daily Level 1) (English Edition),A.D. Largie,Kemet Kids Books,2020,電子書籍,30
1,B08933DVPT,,学習・教育,3,読み終わった,,,,2025/4/10 18:01,2025/4/10 18:05,Steph Curry Kids Book: level 1 readers for kids (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,29
1,B088QS6BMY,,学習・教育,3,読み終わった,,,,2025/4/10 17:57,2025/4/10 18:00,Lebron James Kids Book: level 1 reader (Kids Read Daily Level 1) (English Edition),A.D.Largie,KIDS READ DAILY,,電子書籍,25
1,B088Q7NP7L,,学習・教育,3,読み終わった,,,,2025/4/10 17:56,2025/4/10 17:56,Human Body Homeschool: Skin: human body for kids (Kids Read Daily Level 1) (English Edition),A.D.Largie,KIDS READ DAILY,,電子書籍,24
1,B08KRZQ2N8,,学習・教育,3,読み終わった,,,,2025/4/9 18:11,2025/4/9 18:11,Trees For Kids: Trees Have Many Jobs: Level 1 Reading Books For Children (Kids Read Daily Level 1) (English Edition),A.D. Largie,Kids Read Daily,,電子書籍,27
1,B088JWKHGD,,学習・教育,3,読み終わった,,,,2025/4/9 18:11,2025/4/9 21:52,Trees For Kids: So Many Kinds Of Trees: Nature book children for level 1 readers (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,27
1,B088B4R8QC,,学習・教育,3,読み終わった,,,,2025/4/9 18:02,2025/4/9 18:02,I Like Dinosaurs: Level 1 Reading Book (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,39
1,B088611Q6W,,学習・教育,3,読み終わった,,,,2025/4/8 17:56,2025/4/8 0:00,When I Grow Up Books For Kids: level 1 books (Kids Read Daily Level 1) (English Edition),A.D. Largie,Kids Read Daily,,電子書籍,39
1,B08819ZGTX,,学習・教育,3,読み終わった,,,,2025/4/8 7:41,2025/4/7 0:00,In The Ocean: Level 1 Readers (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,29
1,B087PNWPH1,,学習・教育,3,読み終わった,,,,2025/4/8 7:39,2025/4/7 0:00,Astronaut Book For Kids: Level 1 Reading Book (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,25
1,B087Z1SHMX,,学習・教育,3,読み終わった,,,,2025/4/8 7:39,2025/4/7 0:00,Human Body Homeschool: Bones: Level 1 Book (Kids Read Daily Level 1) (English Edition),A.D.Largie,Kids Read Daily,,電子書籍,28
1,B0CL6GXXYZ,,学習・教育,,積読,,,,2025/4/8 7:36,,やり直し：０から始める英語多読: やり直し英語多読,Shu1Works,,,電子書籍,146
1,B0B81L568R,,仕事術,3,読み終わった,,,,2025/4/5 6:47,2025/4/5 6:47,知らないと損をする税金の話 副業のプロと税理士がタッグで教えるプロフェッショナルサラリーマンの節税スキル,俣野 成敏,Clover出版,2022,電子書籍,
1,B0B7RQN36J,,小説,3,読み終わった,,,,2025/4/2 6:37,2025/4/5 6:46,いけない (文春文庫),道尾 秀介,文藝春秋,2022,電子書籍,240
1,456984734X,9.78E+12,仕事術,2,読み終わった,,,,2025/3/30 21:35,2025/3/29 0:00,自分を操り、不安をなくす 究極のマインドフルネス,メンタリストDaiGo,PHP研究所,2020,本,237
1,4.06E+09,9.78E+12,自然科学,4,読み終わった,,,,2025/3/29 17:22,2025/4/17 21:18,たんぱく質入門 (ブルーバックス),武村政春,講談社,2011,本,256
1,4.31E+09,9.78E+12,経済・社会科学,4,読み終わった,,,,2025/3/29 17:22,2025/4/6 10:28,NEXUS 情報の人類史 上 人間のネットワーク,ユヴァル・ノア・ハラリ,河出書房新社,2025,本,304
1,4.31E+09,9.78E+12,経済・社会科学,4,読み終わった,,,,2025/3/29 17:22,2025/4/14 12:05,NEXUS 情報の人類史 下 AI革命,ユヴァル・ノア・ハラリ,河出書房新社,2025,本,328
1,4.07E+09,9.78E+12,小説,4,読み終わった,,,,2025/3/25 12:49,2025/3/29 17:16,カエルの小指 a murder of crows (講談社文庫),道尾秀介,講談社,2022,本,448
1,4.04E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2025/3/17 20:15,2025/3/25 12:49,空海「秘蔵宝鑰」 こころの底を知る手引き ビギナーズ 日本の思想 (角川ソフィア文庫),空海,KADOKAWA,2010,本,288
1,4.04E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2025/3/17 20:14,2025/3/18 12:50,空海「三教指帰」 ビギナーズ 日本の思想 (角川ソフィア文庫),加藤純隆,KADOKAWA,2007,本,192
1,4.09E+09,9.78E+12,小説,4,読み終わった,,,,2025/3/10 21:11,2025/3/13 11:38,のぼうの城 (上),和田竜,小学館,2010,本,224
1,4.09E+09,9.78E+12,小説,5,読み終わった,,,,2025/3/10 21:11,2025/3/14 6:38,のぼうの城 (下),和田竜,小学館,2010,本,224
1,4.16E+09,9.78E+12,小説,2,読み終わった,,,,2025/2/25 2:09,2025/3/3 22:42,コード・ブッダ 機械仏教史縁起,円城塔,文藝春秋,2024,本,360
1,4.80E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2025/2/23 10:11,2025/2/23 10:11,自分とか、ないから。 教養としての東洋哲学,しんめいP,サンクチュアリ出版,2024,本,
1,4.04E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2025/2/15 10:38,2025/2/27 0:00,空海入門 (角川ソフィア文庫),加藤精一,角川学芸出版,2012,本,208
1,4.57E+09,9.78E+12,哲学・宗教,5,読み終わった,"全ては空である。
この一言に尽きる。

訳も分かり易くスッと頭に入ってくる。

が、理屈だけ分かってもダメで、体で体感する事が大切。

「有るでも無いでも無い」
この感覚が悟れるよう、日々の瞑想に努めていきたい。",,,2025/2/11 21:50,2025/2/14 12:43,超訳「般若心経」 (PHP文庫),苫米地英人,PHP研究所,2015,本,208
1,4.17E+09,9.78E+12,小説,3,読み終わった,,,,2025/2/1 9:00,2025/2/10 6:56,それもまたちいさな光 (文春文庫),角田光代,文藝春秋,2012,本,224
1,4.17E+09,9.78E+12,経済・社会科学,4,読み終わった,,,,2025/1/25 21:42,2025/1/31 12:48,世界秩序が変わるとき 新自由主義からのゲームチェンジ (文春新書),齋藤ジン,文藝春秋,2024,本,256
1,4.86E+09,9.78E+12,小説,3,読み終わった,,,,2025/1/25 21:41,2025/1/26 9:21,変な家 文庫版,雨穴,飛鳥新社,2024,本,256
1,4.10E+09,9.78E+12,小説,4,読み終わった,,,,2025/1/7 6:51,2025/1/9 12:50,成瀬は天下を取りにいく,宮島未奈,新潮社,2023,本,208
1,4.06E+09,9.78E+12,小説,4,読み終わった,,,,2025/1/2 21:26,2025/3/10 12:44,カラスの親指 by rule of CROW’s thumb (講談社文庫),道尾秀介,講談社,2011,本,520
1,4.09E+09,9.78E+12,ノンフィクション・エッセイ,5,読み終わった,,,,2025/1/2 17:06,2025/1/6 12:52,ファスト教養 10分で答えが欲しい人たち (集英社新書),レジー,集英社,2022,本,256
1,4.80E+09,9.78E+12,その他,3,読み終わった,,,,2024/12/25 10:21,2024/12/31 9:03,もし文豪たちがカップ焼きそばの作り方を書いたら (宝島SUGOI文庫),神田桂一,宝島社,2018,本,
1,B0893HK8X9,,経済・社会科学,3,読み終わった,,,,2024/12/11 7:30,2024/12/25 11:44,ネット社会を生きる10ヵ条,ダグラス・ラシュコフ,株式会社ボイジャー,,電子書籍,212
1,4.34E+09,9.78E+12,小説,4,読み終わった,,,,2024/11/18 23:12,2024/7/11 0:00,モンスター (幻冬舎文庫),百田尚樹,幻冬舎,2012,本,496
1,B0894NHJ11,,小説,4,読み終わった,,,,2024/11/18 22:57,2024/5/18 0:00,風の中のマリア (講談社文庫),百田尚樹,講談社,2011,電子書籍,240
1,B09HBHQW7M,,小説,4,読み終わった,,,,2024/11/18 22:57,2024/4/22 0:00,幸福な生活 (祥伝社文庫),百田尚樹,祥伝社,2013,電子書籍,
1,4.00E+09,9.78E+12,ノンフィクション・エッセイ,5,読み終わった,,,,2024/11/18 22:55,2024/10/10 0:00,後世への最大遺物・デンマルク国の話 (岩波文庫),内村鑑三,岩波書店,2011,本,144
1,456966427X,9.78E+12,ノンフィクション・エッセイ,3,読み終わった,,,,2024/11/18 22:55,2024/9/12 0:00,武士道 いま、拠って立つべき“日本の精神” (PHP文庫),新渡戸稲造,PHP研究所,2005,本,224
1,4.00E+09,9.78E+12,自然科学,4,読み終わった,,,,2024/11/18 22:55,2024/10/26 0:00,生物から見た世界 (岩波文庫),ユクスキュル,岩波書店,2005,本,190
1,4.00E+09,9.78E+12,哲学・宗教,5,読み終わった,,,,2024/11/18 22:54,2024/9/25 0:00,自省録(マルクス・アウレーリウス) (岩波文庫 青610-1),マルクス・アウレーリウス,岩波書店,2007,本,232
1,4.00E+09,9.78E+12,哲学・宗教,4,読み終わった,,,,2024/11/18 22:54,2024/9/30 0:00,生の短さについて 他二篇 (岩波文庫 青607-1),セネカ,岩波書店,2010,本,300
1,4.12E+09,9.78E+12,哲学・宗教,3,読み終わった,,,,2024/11/18 22:54,2024/10/5 0:00,語録 要録 (中公クラシックス),エピクテトス,中央公論新社,2017,本,272
